x, y, theta, stamp, 
0.6380879282951355, 0.8892722129821777, 0.09663581848144531, 1709259509716623811, 
0.6589217185974121, 0.8926864862442017, 0.07018642872571945, 1709259509826612388, 
0.6788639426231384, 0.8948825001716614, 0.047007568180561066, 1709259509926601167, 
0.6963457465171814, 0.896247148513794, 0.03948042541742325, 1709259510016728081, 
0.7160955667495728, 0.8973804116249084, 0.03233744576573372, 1709259510116743254, 
0.7378171682357788, 0.8980262875556946, 0.00953880324959755, 1709259510227077778, 
0.7567964792251587, 0.8978137969970703, -0.011305931024253368, 1709259510326918825, 
0.7742195129394531, 0.8968952894210815, -0.02675992250442505, 1709259510416738973, 
0.7935232520103455, 0.8951442837715149, -0.045499011874198914, 1709259510516630517, 
0.8148003220558167, 0.892544686794281, -0.06372775882482529, 1709259510626725395, 
0.8342589735984802, 0.890196681022644, -0.059903841465711594, 1709259510726601349, 
0.8521801233291626, 0.8881449103355408, -0.05613575130701065, 1709259510816645259, 
0.8753696084022522, 0.8843430876731873, -0.07029608637094498, 1709259510936494825, 
0.8920696377754211, 0.8814548850059509, -0.0813315212726593, 1709259511026883637, 
0.9112322330474854, 0.877899169921875, -0.09177675098180771, 1709259511126948122, 
0.928353488445282, 0.8741899132728577, -0.10046035051345825, 1709259511216744550, 
0.9477882981300354, 0.8697050213813782, -0.10858859121799469, 1709259511316926813, 
0.9691845774650574, 0.8653758764266968, -0.10121620446443558, 1709259511427152736, 
0.9883629679679871, 0.8618829250335693, -0.09639105200767517, 1709259511526940601, 
1.0057642459869385, 0.8579235672950745, -0.10028333216905594, 1709259511616756416, 
1.0249077081680298, 0.8539397716522217, -0.10521391779184341, 1709259511716648598, 
1.0460600852966309, 0.8492186665534973, -0.10835592448711395, 1709259511826845783, 
1.06562340259552, 0.844950795173645, -0.11052393913269043, 1709259511926685992, 
1.084404468536377, 0.840362548828125, -0.11302461475133896, 1709259512017632017, 
1.1052672863006592, 0.835472822189331, -0.11520262062549591, 1709259512116632450, 
1.1273341178894043, 0.8309106826782227, -0.10661054402589798, 1709259512226660759, 
1.146241545677185, 0.8272839784622192, -0.09515593945980072, 1709259512326616730, 
1.1633135080337524, 0.8239956498146057, -0.092682845890522, 1709259512416621355, 
1.1819946765899658, 0.82082599401474, -0.09227509051561356, 1709259512516646655, 
1.2022333145141602, 0.816962718963623, -0.08933404833078384, 1709259512626655308, 
1.2192858457565308, 0.8138207197189331, -0.08452621847391129, 1709259512726620183, 
1.2334439754486084, 0.8114825487136841, -0.08005491644144058, 1709259512816637545, 
1.2534741163253784, 0.8089442849159241, -0.06644268333911896, 1709259512937699054, 
1.2679964303970337, 0.8074420690536499, -0.05774915590882301, 1709259513026995197, 
1.283791184425354, 0.8058820962905884, -0.05169687420129776, 1709259513126626436, 
1.2975060939788818, 0.8047925233840942, -0.045733168721199036, 1709259513216696286, 
1.3130109310150146, 0.803654134273529, -0.03944006189703941, 1709259513316991374, 
1.3295832872390747, 0.8027353882789612, -0.032318077981472015, 1709259513426669969, 
1.3446804285049438, 0.8020536303520203, -0.026069292798638344, 1709259513526633461, 
1.3581129312515259, 0.8015162348747253, -0.021089686080813408, 1709259513616680898, 
